Date;Open;High;Low;Close;Adj Close;Volume
16.03.2015;4897270020;4929939941;4889089844;4929509766;4929509766;1713480000
17.03.2015;4912649902;4944910156;4907020020;4937430176;4937430176;1724370000
18.03.2015;4926830078;5001569824;4907720215;4982830078;4982830078;1983570000
19.03.2015;4982020020;5000020020;4979939941;4992379883;4992379883;1674970000
20.03.2015;5033470215;5042140137;5020069824;5026419922;5026419922;2825670000
23.03.2015;5020600098;5031390137;5010970215;5010970215;5010970215;1608880000
24.03.2015;5010100098;5032479980;4994560059;4994729980;4994729980;1611670000
25.03.2015;5002830078;5006759766;4876520020;4876520020;4876520020;2219520000
26.03.2015;4835709961;4889209961;4825930176;4863359863;4863359863;2004960000
27.03.2015;4863740234;4899259766;4859660156;4891220215;4891220215;1678650000
30.03.2015;4921779785;4948459961;4921120117;4947439941;4947439941;1778520000
31.03.2015;4925910156;4940870117;4899310059;4900879883;4900879883;1837660000
1.04.2015;4894359863;4899379883;4844390137;4880229980;4880229980;1874960000
2.04.2015;4885410156;4901330078;4872959961;4886939941;4886939941;1563670000
6.04.2015;4855939941;4929620117;4852910156;4917319824;4917319824;1737560000
7.04.2015;4917500000;4948879883;4909770020;4910229980;4910229980;1572940000
8.04.2015;4914149902;4956720215;4914149902;4950819824;4950819824;1714210000
9.04.2015;4950839844;4975930176;4928109863;4974560059;4974560059;1729750000
10.04.2015;4977029785;4996080078;4970020020;4995979980;4995979980;1494240000
13.04.2015;5001549805;5024250000;4985959961;4988250000;4988250000;1544190000
14.04.2015;4988819824;4996819824;4952009766;4977290039;4977290039;1571360000
15.04.2015;4992620117;5021189941;4989240234;5011020020;5011020020;1795530000
16.04.2015;4999359863;5016000000;4996000000;5007790039;5007790039;1662850000
17.04.2015;4966109863;4974089844;4912330078;4931810059;4931810059;1985190000
20.04.2015;4958069824;5000200195;4952680176;4994600098;4994600098;1646340000
21.04.2015;5023959961;5028220215;5009509766;5014100098;5014100098;1721260000
22.04.2015;5026569824;5040649902;4992620117;5035169922;5035169922;1696380000
23.04.2015;5020220215;5073089844;5019290039;5056060059;5056060059;1858620000
24.04.2015;5096339844;5100370117;5081209961;5092080078;5092080078;1895150000
27.04.2015;5104359863;5119830078;5053540039;5060250000;5060250000;2172470000
28.04.2015;5063259766;5075299805;5006279785;5055419922;5055419922;2032500000
29.04.2015;5028450195;5053839844;4999830078;5023640137;5023640137;1871300000
30.04.2015;4996990234;5015959961;4921549805;4941419922;4941419922;2269290000
1.05.2015;4966319824;5005390137;4962740234;5005390137;5005390137;1854400000
4.05.2015;5018350098;5043620117;5013020020;5016930176;5016930176;1668200000
5.05.2015;5000200195;5008270020;4934339844;4939330078;4939330078;2069490000
6.05.2015;4956700195;4965100098;4888169922;4919640137;4919640137;2144620000
7.05.2015;4917750000;4957120117;4914529785;4945540039;4945540039;2042960000
8.05.2015;4991629883;5014330078;4989259766;5003549805;5003549805;1978760000
11.05.2015;5003259766;5017379883;4992020020;4993569824;4993569824;1731390000
12.05.2015;4966439941;4995500000;4931600098;4976189941;4976189941;1705870000
13.05.2015;4991419922;5012970215;4977490234;4981689941;4981689941;1672260000
14.05.2015;5016680176;5051720215;4999649902;5050799805;5050799805;1741970000
15.05.2015;5059149902;5062649902;5034839844;5048290039;5048290039;1667260000
18.05.2015;5040919922;5084500000;5037540039;5078439941;5078439941;1643870000
19.05.2015;5080439941;5087350098;5062799805;5070029785;5070029785;1750980000
20.05.2015;5072439941;5097520020;5050209961;5071740234;5071740234;1786830000
21.05.2015;5065939941;5098229980;5062509766;5090790039;5090790039;1683670000
22.05.2015;5085390137;5103839844;5085189941;5089359863;5089359863;1544920000
26.05.2015;5076910156;5081169922;5016740234;5032750000;5032750000;1731950000
27.05.2015;5047859863;5111540039;5039370117;5106589844;5106589844;1809550000
28.05.2015;5096339844;5106649902;5080250000;5097979980;5097979980;1741420000
29.05.2015;5093100098;5099399902;5057589844;5070029785;5070029785;2024170000
1.06.2015;5094939941;5099009766;5045669922;5082930176;5082930176;1902120000
2.06.2015;5063470215;5100020020;5047350098;5076520020;5076520020;1729750000
3.06.2015;5098479980;5114600098;5084990234;5099229980;5099229980;1852680000
4.06.2015;5078220215;5101109863;5046290039;5059120117;5059120117;1813960000
5.06.2015;5057040039;5074979980;5025520020;5068459961;5068459961;1842890000
8.06.2015;5066649902;5069000000;5014060059;5021629883;5021629883;1712210000
9.06.2015;5013129883;5027020020;4974620117;5013870117;5013870117;1754340000
10.06.2015;5029410156;5086660156;5024169922;5076689941;5076689941;1792980000
11.06.2015;5088259766;5101390137;5075049805;5082509766;5082509766;1623950000
12.06.2015;5060240234;5067959961;5043240234;5051100098;5051100098;1428900000
15.06.2015;5011790039;5035370117;4985939941;5029970215;5029970215;1790280000
16.06.2015;5023580078;5063060059;5022560059;5055549805;5055549805;1654820000
17.06.2015;5067680176;5080109863;5042250000;5064879883;5064879883;1712820000
18.06.2015;5082060059;5143319824;5082029785;5132950195;5132950195;1877920000
19.06.2015;5139770020;5140169922;5113939941;5117000000;5117000000;2468310000
22.06.2015;5147870117;5162129883;5142779785;5153970215;5153970215;1619970000
23.06.2015;5161680176;5163410156;5139330078;5160089844;5160089844;1613540000
24.06.2015;5151379883;5164359863;5121640137;5122410156;5122410156;1628800000
25.06.2015;5139479980;5141709961;5102160156;5112189941;5112189941;1614760000
26.06.2015;5113259766;5121470215;5060819824;5080509766;5080509766;3843810000
29.06.2015;5021209961;5051009766;4956229980;4958470215;4958470215;2025580000
30.06.2015;5000149902;5008759766;4968259766;4986870117;4986870117;2034430000
1.07.2015;5029049805;5038549805;4994459961;5013120117;5013120117;1814560000
2.07.2015;5024299805;5027470215;4990740234;5009209961;5009209961;1490810000
6.07.2015;4963799805;5020709961;4960930176;4991939941;4991939941;1741500000
7.07.2015;4993759766;5001990234;4902209961;4997459961;4997459961;2132080000
8.07.2015;4953979980;4965450195;4901509766;4909759766;4909759766;1931520000
9.07.2015;4976149902;4982189941;4920399902;4922399902;4922399902;1861600000
10.07.2015;4981240234;5008049805;4966509766;4997700195;4997700195;1590230000
13.07.2015;5037270020;5074810059;5036680176;5071509766;5071509766;1694140000
14.07.2015;5077120117;5116520020;5075120117;5104890137;5104890137;1682660000
15.07.2015;5111109863;5125319824;5088120117;5098939941;5098939941;1691350000
16.07.2015;5138180176;5163180176;5128560059;5163180176;5163180176;1823530000
17.07.2015;5196109863;5210160156;5183229980;5210140137;5210140137;1854450000
20.07.2015;5223180176;5231939941;5201490234;5218859863;5218859863;1814180000
21.07.2015;5219200195;5229000000;5196299805;5208120117;5208120117;1774570000
22.07.2015;5146029785;5184740234;5145779785;5171770020;5171770020;2035730000
23.07.2015;5180330078;5197000000;5137640137;5146410156;5146410156;2003310000
24.07.2015;5166910156;5167540039;5084509766;5088629883;5088629883;2004380000
27.07.2015;5055919922;5072879883;5032689941;5039779785;5039779785;1942520000
28.07.2015;5063439941;5097689941;5025609863;5089209961;5089209961;2025110000
29.07.2015;5097859863;5117839844;5080040039;5111729980;5111729980;1890350000
30.07.2015;5100299805;5135649902;5070620117;5128779785;5128779785;1908480000
31.07.2015;5148180176;5155020020;5122370117;5128279785;5128279785;1926360000
3.08.2015;5134339844;5143080078;5082319824;5115379883;5115379883;1790080000
4.08.2015;5110959961;5125899902;5092459961;5105549805;5105549805;1819700000
5.08.2015;5132770020;5175259766;5131859863;5139939941;5139939941;2041490000
6.08.2015;5146629883;5149930176;5035410156;5056439941;5056439941;2290950000
7.08.2015;5043970215;5055560059;5006149902;5043540039;5043540039;2008360000
10.08.2015;5081720215;5112470215;5081109863;5101799805;5101799805;1784930000
11.08.2015;5069160156;5089330078;5013450195;5036790039;5036790039;1912340000
12.08.2015;4994520020;5055750000;4945790039;5044390137;5044390137;2089460000
13.08.2015;5050939941;5071459961;5029609863;5033560059;5033560059;1632340000
14.08.2015;5025919922;5051890137;5012609863;5048240234;5048240234;1487630000
17.08.2015;5032339844;5092689941;5022419922;5091700195;5091700195;1510790000
18.08.2015;5082169922;5085140137;5054970215;5059350098;5059350098;1501540000
19.08.2015;5039029785;5060930176;4992850098;5019049805;5019049805;1785420000
20.08.2015;4973490234;4986509766;4877490234;4877490234;4877490234;2087000000
21.08.2015;4801040039;4856750000;4706040039;4706040039;4706040039;2768540000
24.08.2015;4351609863;4694899902;4292140137;4526250000;4526250000;3508840000
25.08.2015;4687270020;4689540039;4506100098;4506490234;4506490234;2612800000
26.08.2015;4633509766;4703970215;4530029785;4697540039;4697540039;2631660000
27.08.2015;4761049805;4818709961;4721790039;4812709961;4812709961;2368880000
28.08.2015;4792109863;4836779785;4788379883;4828319824;4828319824;1936540000
31.08.2015;4798680176;4824609863;4763419922;4776509766;4776509766;1839010000
1.09.2015;4673609863;4722129883;4614910156;4636100098;4636100098;2253750000
2.09.2015;4704419922;4749979980;4659410156;4749979980;4749979980;1929080000
3.09.2015;4763100098;4800180176;4721910156;4733500000;4733500000;1803320000
4.09.2015;4670350098;4712669922;4657819824;4683919922;4683919922;1574720000
8.09.2015;4769720215;4815040039;4754890137;4811930176;4811930176;1765600000
9.09.2015;4856270020;4862879883;4746729980;4756529785;4756529785;1963750000
10.09.2015;4749959961;4826330078;4746520020;4796250000;4796250000;1845770000
